selector,Bleu_1,Bleu_2,Bleu_3,Bleu_4,CIDEr,METEOR,ROUGE_L,agree_with_top1,mean_len
beam_top1,0.6597,0.4819,0.3474,0.2473,0.5135,0.1858,0.4439,1.0,10.31
random,0.6296,0.4527,0.3217,0.2257,0.4911,0.1903,0.4404,0.225,12.63
clip,0.6402,0.467,0.3331,0.2341,0.5435,0.2005,0.452,0.157,13.28
fusion_a0,0.6328,0.4573,0.3275,0.2325,0.5215,0.196,0.4479,0.343,13.06
fusion_a0.25,0.6354,0.4604,0.3298,0.2337,0.53,0.1978,0.4495,0.282,13.17
fusion_a0.5,0.6415,0.4671,0.3348,0.2369,0.5496,0.2008,0.4524,0.238,13.25
fusion_a0.75,0.6394,0.4655,0.3318,0.2335,0.5477,0.2005,0.4517,0.184,13.31
fusion_a1,0.6402,0.467,0.3331,0.2341,0.5435,0.2005,0.452,0.157,13.28
oracle,0.7032,0.5336,0.3985,0.2935,0.7157,0.216,0.4873,0.235,12.18
